       PGC , G , Nest_10Mpc ,    1PGC ,  N ,   SGX ,   SGY ,   SGZ ,    D ,  Vls ,  logLK ,   Mass ,   r2t
1000042407 , 2 ,      42407 ,       0 ,  4 , -5.54 ,  7.43 , -1.09 , 9.33 ,  743 , 11.253 , 8.8254 , 0.544
     42407 , 1 ,      42407 ,   42407 ,  4 , -5.54 ,  7.43 , -1.09 , 9.33 ,  835 , 11.252 , 8.7629 , 0.543
     43851 , 1 ,      42407 ,   43851 ,  4 , -5.64 ,  7.21 , -0.56 , 9.17 ,  643 ,  8.437 , 0.0531 , 0.099
   3097708 , 1 ,      42407 , 3097708 ,  4 , -5.40 ,  8.04 , -1.11 , 9.75 ,  925 ,  7.770 , 0.0246 , 0.077
     42120 , 1 ,      42407 ,   42407 ,  4 , -5.64 ,  7.93 , -1.20 , 9.80 ,  570 ,  7.655 , 0.0216 , 0.073
1000012209 , 2 ,      12209 ,       0 ,  2 , -1.70 , -7.06 , -5.45 , 9.08 ,  632 , 10.949 , 3.9457 , 0.416
     12209 , 1 ,      12209 ,   12209 ,  2 , -1.70 , -7.06 , -5.45 , 9.08 ,  693 , 10.948 , 3.9596 , 0.417
     11842 , 1 ,      12209 ,   12209 ,  2 , -1.56 , -7.41 , -5.45 , 9.33 ,  571 ,  8.012 , 0.0324 , 0.084
1000047404 , 2 ,      47404 ,       0 ,  3 ,  2.64 ,  7.73 ,  2.55 , 8.56 ,  533 , 10.939 , 3.8446 , 0.413
     47404 , 1 ,      47404 ,   47404 ,  3 ,  2.64 ,  7.73 ,  2.55 , 8.56 ,  570 , 10.937 , 3.8561 , 0.413
     47788 , 1 ,      47404 ,   47404 ,  3 ,  2.85 ,  8.02 ,  2.78 , 8.95 ,  471 ,  8.536 , 0.0596 , 0.103
   4003791 , 1 ,      47404 ,   47404 ,  3 ,  2.74 ,  7.43 ,  2.80 , 8.40 ,  558 ,  7.601 , 0.0202 , 0.072
1000062836 , 2 ,      62836 ,       0 ,  2 , -8.12 , -4.34 ,  1.69 , 9.36 ,  654 , 10.896 , 3.4286 , 0.397
     62836 , 1 ,      62836 ,   62836 ,  2 , -8.12 , -4.34 ,  1.69 , 9.36 ,  691 , 10.895 , 3.3779 , 0.395
     62869 , 1 ,      62836 ,   62836 ,  2 , -8.42 , -4.53 ,  1.69 , 9.71 ,  617 ,  8.286 , 0.0447 , 0.093
1000039600 , 2 ,      39600 ,       0 ,  8 ,  2.75 ,  7.09 ,  0.74 , 7.64 ,  487 , 10.907 , 3.5326 , 0.401
     39600 , 1 ,      39600 ,   39600 ,  8 ,  2.76 ,  7.10 ,  0.74 , 7.65 ,  524 , 10.879 , 3.2897 , 0.392
     39423 , 1 ,      39600 ,   39600 ,  8 ,  2.56 ,  7.15 ,  0.64 , 7.62 ,  581 ,  9.436 , 0.1782 , 0.148
     39918 , 1 ,      39600 ,   39600 ,  8 ,  2.45 ,  6.83 ,  0.70 , 7.29 ,  532 ,  8.717 , 0.0733 , 0.110
     39615 , 1 ,      39600 ,   39615 ,  8 ,  2.61 ,  6.77 ,  0.70 , 7.29 ,  207 ,  8.397 , 0.0507 , 0.097
     41239 , 1 ,      39600 ,   39600 ,  8 ,  2.58 ,  6.72 ,  0.93 , 7.26 ,  466 ,  8.354 , 0.0479 , 0.096
    166127 , 1 ,      39600 ,   39600 ,  8 ,  2.77 ,  6.97 ,  0.75 , 7.54 , 9999 ,  7.347 , 0.0151 , 0.065
     39461 , 1 ,      39600 ,   39600 ,  8 ,  2.58 ,  6.59 ,  0.67 , 7.11 ,  560 ,  8.776 , 0.0786 , 0.113
     39461 , 1 ,      39600 ,   39600 ,  8 ,  2.64 ,  6.73 ,  0.68 , 7.26 ,  560 ,  8.794 , 0.0795 , 0.113
1000065001 , 2 ,      65001 ,       0 ,  2 ,  5.21 ,  0.92 ,  4.76 , 7.12 ,  392 , 10.858 , 3.1012 , 0.384
     65001 , 1 ,      65001 ,   65001 ,  2 ,  5.21 ,  0.92 ,  4.76 , 7.12 ,  350 , 10.857 , 3.1200 , 0.385
     64824 , 1 ,      65001 ,   65001 ,  2 ,  5.21 ,  1.00 ,  4.79 , 7.15 ,  435 ,  8.101 , 0.0359 , 0.087
1000050063 , 2 ,      50063 ,       0 ,  4 ,  2.73 ,  5.51 ,  2.56 , 6.66 ,  438 , 10.771 , 2.4644 , 0.356
     50063 , 1 ,      50063 ,   50063 ,  4 ,  2.73 ,  5.50 ,  2.56 , 6.65 ,  398 , 10.758 , 2.3941 , 0.352
     50216 , 1 ,      50063 ,   50063 ,  4 ,  2.79 ,  5.80 ,  2.72 , 6.99 ,  425 ,  9.201 , 0.1292 , 0.133
     50262 , 1 ,      50063 ,   50063 ,  4 ,  2.79 ,  5.58 ,  2.64 , 6.77 ,  465 ,  8.254 , 0.0427 , 0.092
   5067392 , 1 ,      50063 ,       0 ,  4 ,  2.63 ,  5.44 ,  2.59 , 6.57 , 9999 ,  6.908 , 0.0091 , 0.055
1000032007 , 2 ,      32007 ,       0 ,  5 , -0.59 ,  8.68 , -4.33 , 9.72 ,  602 , 10.888 , 3.3635 , 0.395
     32007 , 1 ,      32007 ,   32256 ,  5 , -0.63 ,  8.85 , -4.53 , 9.96 ,  638 , 10.629 , 1.6972 , 0.314
     32292 , 1 ,      32007 ,   32256 ,  5 , -0.54 ,  8.48 , -4.09 , 9.43 ,  569 , 10.541 , 1.3499 , 0.291
    166107 , 1 ,      32007 ,   32256 ,  5 , -0.63 ,  8.66 , -4.12 , 9.61 , 9999 ,  7.637 , 0.0211 , 0.073
     83339 , 1 ,      32007 ,   32256 ,  5 , -0.47 ,  8.66 , -4.21 , 9.64 ,  699 ,  7.280 , 0.0140 , 0.063
   4689210 , 1 ,      32007 ,   32256 ,  5 , -0.52 ,  8.82 , -4.31 , 9.83 ,  505 ,  6.697 , 0.0072 , 0.051
1000043495 , 2 ,      43495 ,       0 ,  5 ,  1.05 ,  4.20 ,  0.70 , 4.39 ,  353 , 10.618 , 1.6462 , 0.311
     43495 , 1 ,      43495 ,   43495 ,  5 ,  1.03 ,  4.22 ,  0.73 , 4.40 ,  368 , 10.561 , 1.4187 , 0.296
     40973 , 1 ,      43495 ,   43495 ,  5 ,  1.29 ,  4.03 ,  0.46 , 4.26 ,  271 ,  9.651 , 0.2427 , 0.164
     45314 , 1 ,      43495 ,   43495 ,  5 ,  0.71 ,  4.19 ,  0.87 , 4.34 ,  372 ,  8.707 , 0.0725 , 0.110
     42656 , 1 ,      43495 ,   43495 ,  5 ,  0.91 ,  4.45 ,  0.58 , 4.58 ,  393 ,  8.194 , 0.0398 , 0.090
    166142 , 1 ,      43495 ,   43495 ,  5 ,  1.22 ,  4.10 ,  0.66 , 4.33 ,  362 ,  6.585 , 0.0062 , 0.048
1000013826 , 2 ,      13826 ,       0 ,  6 ,  3.34 ,  0.63 ,  0.00 , 3.40 ,  199 , 10.581 , 1.4946 , 0.301
     13826 , 1 ,      13826 ,   13826 ,  6 ,  3.37 ,  0.63 ,  0.02 , 3.43 ,  256 , 10.543 , 1.3499 , 0.291
     15345 , 1 ,      13826 ,   13826 ,  6 ,  3.11 ,  0.66 , -0.27 , 3.19 ,   99 ,  9.320 , 0.1511 , 0.140
     14241 , 1 ,      13826 ,   13826 ,  6 ,  2.93 ,  0.56 , -0.06 , 2.98 ,  291 ,  8.980 , 0.0989 , 0.122
     15439 , 1 ,      13826 ,   13826 ,  6 ,  3.14 ,  0.63 , -0.34 , 3.22 ,  104 ,  7.928 , 0.0295 , 0.081
    166082 , 1 ,      13826 ,   13826 ,  6 ,  3.42 ,  0.99 ,  0.12 , 3.56 ,  169 ,  7.775 , 0.0246 , 0.077
    166084 , 1 ,      13826 ,  166084 ,  6 ,  3.36 ,  0.90 , -0.26 , 3.49 ,  279 ,  7.038 , 0.0106 , 0.058
1000042637 , 2 ,      42637 ,       0 ,  3 ,  0.74 ,  7.23 ,  0.73 , 7.30 ,  643 , 10.488 , 1.1910 , 0.279
     42637 , 1 ,      42637 ,   42637 ,  3 ,  0.74 ,  7.27 ,  0.73 , 7.34 ,  625 , 10.443 , 1.0625 , 0.269
     42620 , 1 ,      42637 ,   42637 ,  3 ,  0.70 ,  6.86 ,  0.69 , 6.93 ,  556 ,  9.473 , 0.1859 , 0.150
   2832120 , 1 ,      42637 ,   42637 ,  3 ,  0.74 ,  7.52 ,  0.79 , 7.60 ,  749 ,  7.794 , 0.0251 , 0.077
1000041618 , 2 ,      41618 ,       0 ,  2 , -3.49 ,  7.54 , -0.77 , 8.34 ,  790 , 10.235 , 0.6797 , 0.232
     41618 , 1 ,      41618 ,   41618 ,  2 , -3.49 ,  7.54 , -0.77 , 8.34 ,  979 , 10.234 , 0.6725 , 0.231
     41667 , 1 ,      41618 ,   41667 ,  2 , -3.47 ,  7.29 , -0.76 , 8.11 ,  601 ,  7.530 , 0.0186 , 0.070
1000060921 , 2 ,      60921 ,       0 ,  2 ,  4.31 ,  2.82 ,  3.56 , 6.26 ,  494 ,  9.985 , 0.4219 , 0.197
     60921 , 1 ,      60921 ,   60921 ,  2 ,  4.31 ,  2.82 ,  3.56 , 6.26 ,  293 ,  9.985 , 0.4254 , 0.198
   4689184 , 1 ,      60921 ,       0 ,  2 ,  4.46 ,  2.88 ,  3.68 , 6.46 ,  695 ,  6.452 , 0.0054 , 0.046
1000042863 , 2 ,      42863 ,       0 ,  2 ,  0.73 ,  7.88 ,  0.83 , 7.96 ,  622 ,  9.952 , 0.3979 , 0.194
     42863 , 1 ,      42863 ,   42637 ,  2 ,  0.73 ,  7.88 ,  0.83 , 7.96 ,  661 ,  9.914 , 0.3698 , 0.189
   5074576 , 1 ,      42863 ,   42637 ,  2 ,  0.75 ,  7.90 ,  0.85 , 7.98 ,  583 ,  8.876 , 0.0881 , 0.117
1000073049 , 2 ,      73049 ,       0 ,  2 , -0.56 , -3.68 ,  0.20 , 3.73 ,  259 ,  9.696 , 0.2607 , 0.168
     73049 , 1 ,      73049 ,   73049 ,  2 , -0.56 , -3.68 ,  0.20 , 3.73 ,  235 ,  9.695 , 0.2623 , 0.169
    704814 , 1 ,      73049 ,       0 ,  2 , -0.48 , -3.62 ,  0.21 , 3.66 ,  283 ,  6.919 , 0.0092 , 0.055
1000046957 , 2 ,      46957 ,       0 , 29 , -3.39 ,  1.15 , -0.43 , 3.61 ,  230 , 11.093 , 5.7782 , 0.473
     46957 , 1 ,      46957 ,   46957 , 29 , -3.45 ,  1.27 , -0.34 , 3.69 ,  298 , 10.886 , 3.3779 , 0.395
     45279 , 1 ,      46957 ,   46957 , 29 , -3.30 ,  0.87 , -0.62 , 3.47 ,  297 , 10.593 , 1.5305 , 0.303
     46674 , 1 ,      46957 ,   46674 , 29 , -3.27 ,  1.64 , -0.26 , 3.67 ,  230 ,  9.681 , 0.2542 , 0.167
   9000000 , 1 ,      46957 ,       0 , 29 , -3.53 ,  1.23 , -0.45 , 3.77 , 9999 ,  6.065 , 0.0034 , 0.040
   5509264 , 1 ,      46957 ,       0 , 29 , -3.55 ,  1.40 , -0.40 , 3.84 , 9999 ,  5.641 , 0.0021 , 0.034
   5072214 , 1 ,      46957 ,       0 , 29 , -3.53 ,  1.36 , -0.27 , 3.79 , 9999 ,  6.069 , 0.0035 , 0.040
   5509266 , 1 ,      46957 ,       0 , 29 , -3.42 ,  1.22 , -0.33 , 3.65 , 9999 ,  6.157 , 0.0038 , 0.041
   5509265 , 1 ,      46957 ,       0 , 29 , -3.30 ,  1.34 , -0.29 , 3.57 , 9999 ,  6.217 , 0.0041 , 0.042
    166167 , 1 ,      46957 ,   46957 , 29 , -3.58 ,  1.16 , -0.37 , 3.78 ,   54 ,  6.507 , 0.0058 , 0.047
    166179 , 1 ,      46957 ,   46957 , 29 , -3.67 ,  1.00 , -0.17 , 3.81 ,  264 ,  6.714 , 0.0072 , 0.051
   5509263 , 1 ,      46957 ,       0 , 29 , -3.68 ,  1.45 , -0.37 , 3.97 , 9999 ,  6.910 , 0.0091 , 0.055
     45104 , 1 ,      46957 ,   46957 , 29 , -2.96 ,  0.95 , -0.54 , 3.16 ,  478 ,  6.949 , 0.0096 , 0.056
     46663 , 1 ,      46957 ,   46957 , 29 , -3.73 ,  1.25 , -0.45 , 3.96 ,  487 ,  7.107 , 0.0115 , 0.059
    166175 , 1 ,      46957 ,   46957 , 29 , -3.34 ,  0.99 , -0.16 , 3.49 , 9999 ,  7.198 , 0.0127 , 0.061
   2815823 , 1 ,      46957 ,   46957 , 29 , -3.60 ,  1.29 , -0.15 , 3.83 ,  272 ,  7.278 , 0.0140 , 0.063
   4689187 , 1 ,      46957 ,   46957 , 29 , -3.54 ,  0.93 , -0.19 , 3.67 , 9999 ,  7.319 , 0.0146 , 0.064
    166172 , 1 ,      46957 ,   46957 , 29 , -3.56 ,  1.19 , -0.15 , 3.76 , 9999 ,  7.502 , 0.0180 , 0.069
   5509262 , 1 ,      46957 ,       0 , 29 , -3.37 ,  1.28 , -0.26 , 3.61 , 9999 ,  7.667 , 0.0219 , 0.074
     48515 , 1 ,      46957 ,   46957 , 29 , -3.51 ,  1.09 , -0.20 , 3.68 ,  356 ,  7.724 , 0.0232 , 0.075
   2815822 , 1 ,      46957 ,   46957 , 29 , -3.58 ,  1.35 , -0.38 , 3.84 ,  300 ,  7.803 , 0.0254 , 0.077
     48738 , 1 ,      46957 ,   46957 , 29 , -3.19 ,  1.17 , -0.09 , 3.40 ,  308 ,  7.855 , 0.0269 , 0.079
   5072213 , 1 ,      46957 ,       0 , 29 , -3.28 ,  1.26 , -0.25 , 3.52 , 9999 ,  7.925 , 0.0295 , 0.081
     45917 , 1 ,      46957 ,   46957 , 29 , -3.47 ,  1.31 , -0.49 , 3.74 ,  391 ,  7.978 , 0.0313 , 0.083
     46680 , 1 ,      46957 ,   46957 , 29 , -3.57 ,  1.36 , -0.38 , 3.84 ,  393 ,  8.081 , 0.0351 , 0.086
     47171 , 1 ,      46957 ,   46957 , 29 , -3.51 ,  1.39 , -0.29 , 3.79 ,  269 ,  8.309 , 0.0457 , 0.094
     48139 , 1 ,      46957 ,   46957 , 29 , -3.12 ,  1.12 , -0.18 , 3.32 ,  119 ,  8.394 , 0.0501 , 0.097
